#id,x,y,z,radius
126,3.2247,-5.79044,0,0.539693
127,-0.542512,-11.3689,0,0.217894
128,9.02166,-5.99673,0,0.214132
129,15.5865,0.656395,0,0.214121
130,15.2096,-9.09476,0,0.214113
131,4.29196,-6.22444,0,0.21372
132,9.33006,-0.566003,0,0.212442
133,2.68611,-2.49618,0,0.211158
134,-0.731214,-11.4779,0,0.208179
135,9.33006,-0.778445,0,0.205376
136,12.2601,-11.6401,0,0.200423
137,12.0597,-11.6401,0,0.209979
138,-1.78156,0.458919,0,0.199829
139,-1.17129,-6.6633,0,0.195484
140,0.410272,-6.58927,0,0.192827
141,0.577266,-6.49286,0,0.274735
142,-1.61598,-1.76372,0,0.191291
143,2.94419,-12.338,0,0.188315
144,10.3144,-10.3795,0,0.187396
145,16.1877,-5.54822,0,0.187079
146,16.0941,-5.3862,0,0.26997
147,14.0923,2.0144,0,0.186352
148,-0.202142,-11.2777,0,0.185411
149,8.21237,-3.7374,0,0.185092
150,8.05207,-3.82995,0,0.251717
151,10.6656,1.76216,0,0.184661
152,4.0608,-0.102818,0,0.183521
153,15.0225,-7.79231,0,0.181916
154,2.58795,-6.36823,0,0.176131
155,-1.47503,-4.13581,0,0.17573
156,-0.202142,-12.6392,0,0.172407
157,16.6144,-11.1663,0,0.171677
158,15.9221,-2.69122,0,0.170086
159,16.1752,-5.09713,0,0.169675
160,2.74049,-6.28017,0,0.168668
161,-1.68165,0.631976,0,0.16818
162,2.80816,-2.95166,0,0.166683
163,16.3886,-7.89225,0,0.164146
164,16.3066,-8.03441,0,0.258537
165,9.14007,-5.55484,0,0.163337
166,15.1025,-9.28019,0,0.163252
167,9.49925,1.6526,0,0.160489
168,-1.61598,-1.95501,0,0.160274
169,11.852,-11.7001,0,0.159995
170,1.9941,-11.1,0,0.159092
171,16.5843,-10.6833,0,0.158952
172,5.11961,-12.2848,0,0.158124
173,4.96148,-12.2848,0,0.174076
174,12.4415,1.812,0,0.157836
175,-1.38224,-5.38813,0,0.155474
176,5.56629,0.769976,0,0.151336
177,5.56629,0.61864,0,0.177396
178,2.84126,-0.886606,0,0.150949
